,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu_over_sf),SiteEUIWN(kBtu_over_sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,NonRes,Compl,Outlier_ok,Anciennete,no_zero_floors,measure_floors,Intensité de consommation,log_PropertyGFATotal,log_PropertyGFAParking,log_PropertyGFABuilding(s),log_SiteEnergyUse(kBtu),log_SiteEnergyUseWN(kBtu),log_SiteEUI(kBtu_over_sf),log_SiteEUIWN(kBtu_over_sf),log_TotalGHGEmissions,log_GHGEmissionsIntensity,log_measure_floors,log_Anciennete
230,354,2016,NonResidential,Large Office,Fourth & Madison,925 Fourth Avenue,Seattle,WA,98104.0,0942000345,7,DOWNTOWN,47.60549,-122.33319,2002,1.0,37,1052469,164420,888049,"Convenience Store without Gas Station, Data Center, Financial Office, Fitness Center/Health Club/Gym, Office, Other, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc), Restaurant",Office,765351.0,Parking,185581.0,Financial Office,103478.0,2016201520142013201220112010200920082007200620052004,93.0,46.29999924,47.20000076,145.3000031,148.3000031,41213584.0,42071712.0,0.0,12079009.0,41213579.0,0.0,0.0,False,Compliant,,287.32,0.27,1,1,,14,37,253288.2642053389,,13.866649390423195,12.010179408706124,13.696782200632118,17.534278468715637,17.554886148820014,3.8351419446775012,3.8543939086932046,5.660596577206601,-1.3093333199837622,12.44228350331492,2.6390573296152584
231,355,2016,NonResidential,Large Office,901 Fifth Avenue,901 Fifth Avenue,Seattle,WA,98164.0,0942000365,7,DOWNTOWN,47.60616,-122.33165,1973,1.0,42,617684,171500,446184,"Financial Office, Office, Parking, Retail Store",Office,581558.0,Parking,189600.0,Retail Store,18026.0,201520142013,28.0,115.9000015,119.4000015,361.2000122,372.0,69519808.0,71568952.0,882983.5,20116302.0,68636822.0,0.0,0.0,False,Compliant,,546.65,0.88,1,1,,43,42,183781.05849283864,,13.333732278806828,12.052338545588132,13.008486701978162,18.05712227712243,18.086171906600725,4.752727763287898,4.782479213521316,6.303808743880494,-0.12783337150988489,12.121500428603197,3.7612001156935624
233,357,2016,Nonresidential COS,Large Office,Seattle Municipal Tower (2030),700 Fifth Avenue,Seattle,WA,98104.0,0942000720,3,DOWNTOWN,47.60501,-122.32988,1990,1.0,63,1354987,159600,1195387,"Office, Parking",Office,1191115.0,Parking,159599.0,Other,18656.0,2014201320112010200920082007,89.0,50.40000153,50.40000153,158.1000061,158.1000061,61576184.0,61576184.0,0.0,18046946.0,61576180.0,0.0,0.0,False,Compliant,,429.27,0.32,1,1,,26,63,366098.307842774,,14.119302418153973,11.980425963997845,13.993980540292243,17.935785730369037,17.935785730369037,3.9199912054344654,3.9199912054344654,6.062086091586753,-1.1394342831883648,12.81065717698012,3.258096538021482
235,359,2016,Nonresidential COS,Large Office,City Hall,600 4th Ave,Seattle,WA,98104.0,0942000810,7,DOWNTOWN,47.60377,-122.32971,2003,1.0,8,199530,30660,168870,"Office, Other, Parking, Restaurant",Office,160418.0,Parking,18590.0,Other,17480.0,,69.0,73.19999695,77.40000153,178.1000061,181.0,13214416.0,13972700.0,0.0,2561244.0,8738965.0,44754.50781,4475451.0,False,Compliant,,298.61,1.5,1,1,,13,8,67601.0719467473,,12.203719879946577,10.330714152425806,12.036884467126182,16.396818912838196,16.452615983854287,4.293195379300598,4.348986800363123,5.699138374162544,0.4054651081081644,11.121379119105734,2.5649493574615367
236,360,2016,NonResidential,Large Office,Chinook Building,401 Fifth Ave.,Seattle,WA,98104.0,0942001105,7,DOWNTOWN,47.60249,-122.32854,2006,1.0,13,372242,52703,319539,"Office, Parking",Office,319539.0,Parking,52703.0,,,,98.0,43.29999924,43.40000153,119.0999985,116.9000015,13843866.0,13862720.0,0.0,3296889.25,11248986.0,25948.78125,2594878.0,False,Compliant,,216.24,0.58,1,1,,10,13,106105.44791424014,,12.827299459381809,10.872427658905435,12.67463461107801,16.443352804407084,16.44471378066812,3.768152617456481,3.770459476359815,5.376388901968192,-0.5447271754416722,11.57218867026068,2.302585092994046
237,361,2016,NonResidential,Large Office,Yesler Building,400 YESLER WAY,Seattle,WA,98104.0,0942001150,7,DOWNTOWN,47.60193,-122.32812,1909,1.0,7,114395,8296,106099,Office,Office,96582.0,,,,,,99.0,28.39999962,30.79999924,65.40000153,67.80000305,2746560.75,2970604.25,0.0,480858.5,1640689.0,11058.71094,1105871.0,False,Compliant,,70.17,0.61,1,1,,107,7,49628.85518651411,,11.64741265067898,9.023528749909364,11.57212789948697,14.825860050580811,14.904275941263949,3.3463891317868786,3.4275146653042037,4.250920869264197,-0.4942963218147801,10.81232770135018,4.672828834461906
242,367,2016,NonResidential,Large Office,4311 Roosevelt,4311 11th Avenue NE,Seattle,WA,98105.0,1142000530,4,NORTHEAST,47.66065,-122.31689,2002,1.0,6,135051,44248,90803,"Office, Parking",Office,95943.0,Parking,42500.0,,,2017201620152014201320112008,88.0,46.09999847,46.09999847,144.8999939,144.8999939,4426136.0,4426136.0,0.0,1297226.125,4426136.0,0.0,0.0,False,Compliant,,30.86,0.23,1,1,,14,6,44658.548403931396,,11.813407763858287,10.697565451674514,11.416447603691164,15.303037526640257,15.303037526640257,3.830812916813882,3.830812916813882,3.4294608469350147,-1.4696759700589417,10.706801021595226,2.6390573296152584
243,368,2016,NonResidential,Large Office,4300 Roosevelt,4300 Roosevelt Way NE,Seattle,WA,98105.0,1142000550,4,NORTHEAST,47.65999,-122.31741,2002,1.0,5,220649,82720,137929,"Office, Parking",Office,145754.0,Parking,90000.0,,,201720162015201420132008,93.0,48.29999924,48.29999924,151.8000031,151.8000031,7046345.5,7046345.5,0.0,2065165.5,7046345.0,0.0,0.0,False,Compliant,,49.12,0.22,1,1,,14,5,60803.74695642703,,12.304328482623069,11.323216689742257,11.83449433898891,15.768019671594574,15.768019671594574,3.877431544923537,3.877431544923537,3.894266283838887,-1.5141277326297755,11.01540669362817,2.6390573296152584
245,370,2016,NonResidential,Large Office,Metropolitan Park West,1100 Olive Way,Seattle,WA,98101.0,0660002054,7,DOWNTOWN,47.61597,-122.33086,1980,1.0,18,413715,64660,349055,"Office, Parking",Office,348270.0,Parking,69634.0,,,20162015201320122010,79.0,69.59999847,69.59999847,218.3999939,218.3999939,24224888.0,24224888.0,0.0,7099908.0,24224886.0,0.0,0.0,False,Compliant,,168.88,0.41,1,1,,36,18,119655.51709174243,,12.932932609950278,11.076898051279423,12.762984781891282,17.002891092407403,17.002891092407403,4.242764545357615,4.242764545357615,5.129188403540065,-0.8915981192837836,11.692372202526231,3.58351893845611
246,371,2016,NonResidential,Mixed Use Property,METROPOLITAN PARK NORTH (ID371),1220 HOWELL ST,Seattle,WA,98101.0,0660002381,7,DOWNTOWN,47.6177,-122.3306,2000,1.0,11,381381,195621,185760,"Fitness Center/Health Club/Gym, Office, Parking",Parking,182820.0,Office,164192.0,Fitness Center/Health Club/Gym,37782.0,,94.0,48.40000153,49.20000076,150.8999939,153.5,9765777.0,9944328.0,0.0,2834648.75,9671822.0,939.5400391,93954.0,False,Compliant,,72.42,0.19,1,1,,16,11,74065.73020909012,,12.85155415444192,12.183934392783161,12.132210796931718,16.094394689019875,16.1125128963431,3.8794998453341556,3.8958936389454166,4.282482504337495,-1.6607312068216509,11.212708223998,2.772588722239781
248,373,2016,NonResidential,Large Office,Fourth and Blanchard,2101 Fourth Avenue,Seattle,WA,98121.0,0694000205,7,DOWNTOWN,47.61431,-122.34244,1979,1.0,24,543876,116721,427155,"Office, Parking",Office,424044.0,Parking,107300.0,,,,79.0,59.70000076,61.70000076,187.3999939,193.6000061,25307744.0,26144226.0,0.0,7417274.5,25307741.0,0.0,0.0,False,Compliant,,176.43,0.32,1,1,,37,24,145871.35405275717,,13.206476558679071,11.66754175067196,12.964902224001131,17.046620993819214,17.079138921035348,4.0893320331288745,4.122283943229008,5.172924197139975,-1.1394342831883648,11.890480375636457,3.6109179126442243
